Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Nikos Anadiotis,Greece,,NIKI,Non-Inscrits,,16 July 2024,
Maria Zacharia,Greece,,PE,Non-Inscrits,,16 July 2024,
Afroditi Latinopoulou,Greece,,FL,Patriots for Europe,,16 July 2024,
Tamás Deutsch,Hungary,,Fidesz–KDNP,Patriots for Europe,,14 July 2009,
Csaba Dömötör,Hungary,,Fidesz–KDNP,Patriots for Europe,,22 September 2024,
Kinga Gál,Hungary,,Fidesz–KDNP,Patriots for Europe,,20 July 2004,
András Gyürk,Hungary,,Fidesz–KDNP,Patriots for Europe,,20 July 2004,
Balázs Győrffy,Hungary,,Fidesz–KDNP,Patriots for Europe,,16 July 2024,1 September 2024
György Hölvényi,Hungary,,Fidesz–KDNP,Patriots for Europe,,1 July 2014,
Pál Szekeres,Hungary,,Fidesz–KDNP,Patriots for Europe,,16 July 2024,
Viktória Ferenc,Hungary,,Fidesz–KDNP,Patriots for Europe,,16 July 2024,
Annamária Vicsek,Hungary,,Fidesz–KDNP,Patriots for Europe,,16 July 2024,
Enikő Győri,Hungary,,Fidesz–KDNP,Patriots for Europe,,2 July 2019[j],
András László,Hungary,,Fidesz–KDNP,Patriots for Europe,,16 July 2024,
Ernő Schaller-Baross,Hungary,,Fidesz–KDNP,Patriots for Europe,,10 January 2021,
Péter Magyar,Hungary,,TISZA,EPP,,16 July 2024,
Dóra Dávid,Hungary,,TISZA,EPP,,16 July 2024,
Zoltán Tarr,Hungary,,TISZA,EPP,,16 July 2024,
András Kulja,Hungary,,TISZA,EPP,,16 July 2024,
Eszter Lakos,Hungary,,TISZA,EPP,,16 July 2024,
Gabriella Gerzsenyi,Hungary,,TISZA,EPP,,16 July 2024,
Kinga Kollár,Hungary,,TISZA,EPP,,16 July 2024,
Klára Dobrev,Hungary,,DK–MSZP–P,S&D,,2 July 2019,
Csaba Molnár,Hungary,,DK–MSZP–P,S&D,,1 July 2014,
Zsuzsanna Borvendég,Hungary,,MHM,Europe of Sovereign Nations,,16 July 2024,
Barry Andrews,Ireland,Dublin,FF,Renew Europe,,1 February 2020,
Lynn Boylan,Ireland,Dublin,SF,The Left,,16 July 2024[k],
Regina Doherty,Ireland,Dublin,FG,EPP,,16 July 2024,
Aodhán Ó Ríordáin,Ireland,Dublin,LAB,S&D,,16 July 2024,
Luke 'Ming' Flanagan,Ireland,Midlands–North-West,IND,The Left,,1 July 2014,
Barry Cowen,Ireland,Midlands–North-West,FF,Renew Europe,,16 July 2024,
Nina Carberry,Ireland,Midlands–North-West,FG,EPP,,16 July 2024,
Maria Walsh,Ireland,Midlands–North-West,FG,EPP,,2 July 2019,
Ciarán Mullooly,Ireland,Midlands–North-West,II,Renew Europe,,16 July 2024,
Seán Kelly,Ireland,South,FG,EPP,,14 July 2009,
Billy Kelleher,Ireland,South,FF,Renew Europe,,2 July 2019,
Cynthia Ní Mhurchú,Ireland,South,FF,Renew Europe,,16 July 2024,
Kathleen Funchion,Ireland,South,SF,The Left,,16 July 2024,
Michael McNamara,Ireland,South,IND,Renew Europe,,16 July 2024,
Carlo Fidanza,Italy,North-West Italy,FdI,ECR,,2 July 2019[l],
Mario Mantovani,Italy,North-West Italy,FdI,ECR,,16 July 2024[m],
Giovanni Crosetto,Italy,North-West Italy,FdI,ECR,,16 July 2024,
Lara Magoni,Italy,North-West Italy,FdI,ECR,,16 July 2024,
Pietro Fiocchi,Italy,North-West Italy,FdI,ECR,,2 July 2019,
Mariateresa Vivaldini,Italy,North-West Italy,FdI,ECR,,16 July 2024,
Paolo Inselvini,Italy,North-West Italy,FdI,ECR,,16 July 2024,
