Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Vytenis Andriukaitis,Lithuania,,LSDP,S&D,Q774300,2024-07-16,1951-08-09,Kyusyur,Vilnius University,politician || Esperantist,,Social Democratic Party of Lithuania,January 13th commemorative medal || Officer of the Legion of Honour || Commander of the Order of the Lithuanian Grand Duke Gediminas || Grand Cross of the Order of Merit of Portugal || Medal of the Baltic Assembly,European Commissioner for Health and Consumer Policy (2014-11-01 to 2019-11-30) || Member of the Seimas (1992-11-24 to 1996-11-22) || Member of the Seimas (1996-11-25 to 2000-10-18) || Member of the Seimas || Minister of Health of Lithuania (2012-12-13 to 2014-07-14) || Member of the Seimas (2012-11-16 to 2014-09-15) || Member of the Seimas (2008-11-17 to 2012-11-16) || substitute member of the Parliamentary Assembly of the Council of Europe (1994-01-24 to 1995-01-30) || Member of the Seimas (2000-10-19 to 2004-07-27)
Aurelijus Veryga,Lithuania,,LVŽS,ECR,Q27546897,2024-07-16,1976-08-08,Užventis,Medical Academy of the Lithuanian University of Health Sciences || Užventis gymnasium,physician || politician || professor,,independent politician,,Member of the Seimas (2020-11-13 to 2024-07-15) || Member of the Seimas (2016-11-14 to 2020-11-13) || Minister of Health of Lithuania (2016-12-13 to 2020-12-11)
Dainius Žalimas,Lithuania,,LP,Renew Europe,Q1157638,2024-07-16,1973-05-22,Vilnius,Vilnius University,judge || politician || university teacher,Vilnius University,Homeland Union – Lithuanian Christian Democrats,Order of Honour,
Virginijus Sinkevičius,Lithuania,,DSVL,Greens/EFA,Q27653570,2024-07-16,1990-11-04,Vilnius,Aberystwyth University || Maastricht University,politician || economist,"Lietuvos paštas, AB || Invest Lithuania","Lithuanian Peasant and Greens Union || Union of Democrats ""For Lithuania""",,Member of the Seimas (2016-11-14 to 2020-11-13) || European Commissioner for the Environment (2019-12-01 to 2024-01-01) || Minister of Economy and Innovation (2017-11-27 to 2019-11-30)
Waldemar Tomaszewski,Lithuania,,LLRA–KŠS,ECR,Q1502078,2024-07-16,1965-03-03,Vilnius,Vilnius Gediminas Technical University,engineer || politician,,Electoral Action of Poles in Lithuania,Officer's Cross of the Order of Merit of the Republic of Poland || Commander of the Cross of the Order of Merit of the Republic of Poland,Member of the Seimas (2008-11-17 to 2009-06-21) || Member of the Seimas (2012-11-16 to 2012-11-16) || Member of the Seimas (2004-11-15 to 2008-11-17) || Member of the Seimas (2000-10-19 to 2004-11-14)
Petras Gražulis,Lithuania,,TTS,Europe of Sovereign Nations,Q1762792,2024-07-16,1958-10-28,Lithuanian Soviet Socialist Republic,Kaunas University of Technology,politician,,Order and Justice,,Member of the Seimas (2020-11-13 to 2023-12-18) || Member of the Seimas (2004-11-15 to 2008-11-17) || Member of the Seimas (2000-10-19 to 2004-11-14) || Member of the Seimas (2008-11-17 to 2012-11-16) || Member of the Seimas (2016-11-14 to 2020-11-13) || Member of the Seimas (2012-11-16 to 2016-11-14) || substitute member of the Parliamentary Assembly of the Council of Europe (2014-01-27 to 2017-01-22) || Member of the Seimas (1996-11-25 to 2000-10-18)
Petras Auštrevičius,Lithuania,,LS,Renew Europe,Q2080450,2024-07-16,1963-05-16,Juodšiliai,Vilnius University || Hoover Institution || Lithuanian Academy of Sciences,politician || economist || diplomat,,Liberal and Centre Union || Liberal Movement,"Order of Honour || Commander of the Order of the Lithuanian Grand Duke Gediminas || Order of Merit (Ukraine), 3rd class || Order of Merit (Ukraine), 2nd class",Member of the Seimas (2008-11-17 to 2012-11-16) || Member of the Seimas (2004-11-15 to 2008-11-17) || Member of the Seimas (2012-11-16 to 2014-06-27)
Christophe Hansen,Luxembourg,,CSV,EPP,Q56460787,2024-07-16,1982-02-21,Wiltz,Louis Pasteur University,politician,,Christian Social People's Party,,Deputy of the Chamber of Deputies of Luxembourg (2023-10-24 to 2024-07-10)
Martine Kemp,Luxembourg,,CSV,EPP,Q123038876,2024-12-03,1994-07-08,Luxembourg,University of Vienna || Technical University of Darmstadt || École privée Fieldgen,politician,,Christian Social People's Party,,
Isabel Wiseler-Santos Lima,Luxembourg,,CSV,EPP,Q64034615,2024-07-16,1961-12-29,Odivelas,Sorbonne Nouvelle-Paris 3,politician || secondary school teacher,,Christian Social People's Party,,Échevin
Marc Angel,Luxembourg,,LSAP,S&D,Q15951419,2024-07-16,1963-03-12,Luxembourg,University of Vienna || TU Wien,politician || translator,,Luxembourg Socialist Workers' Party,,Vice President of the European Parliament (from 2023-01-18) || Deputy of the Chamber of Deputies of Luxembourg (2013-11-13 to 2018-10-30) || municipal councillor || Deputy of the Chamber of Deputies of Luxembourg (2004-07-13 to 2009-06-07) || Deputy of the Chamber of Deputies of Luxembourg (2009-07-08 to 2013-11-12) || Deputy of the Chamber of Deputies of Luxembourg (2018-10-30 to 2019-12-02)
Charles Goerens,Luxembourg,,DP,Renew Europe,Q286466,2024-07-16,1952-02-06,Ettelbruck,,politician || diplomat,,Democratic Party,Commander of the Order of the Oak Crown,minister of Foreign and European Affairs (2004-07-20 to 2004-07-31) || Representative of the Parliamentary Assembly of the Council of Europe (2004-09-07 to 2009-09-28) || Representative of the Parliamentary Assembly of the Council of Europe (1984-09-26 to 1995-01-30)
Tilly Metz,Luxembourg,,Gréng,Greens/EFA,Q13105242,2024-07-16,1967-05-26,Luxembourg,UCLouvain,politician || secondary school teacher,,The Greens,,mayor in Luxembourg
Fernand Kartheiser,Luxembourg,,ADR,ECR,Q639734,2024-07-16,1959-09-30,Luxembourg,,politician || military officer || author || double agent,,Alternative Democratic Reform Party,,Deputy of the Chamber of Deputies of Luxembourg (from 2018-10-30) || Deputy of the Chamber of Deputies of Luxembourg (2013-11-13 to 2018-10-30) || Deputy of the Chamber of Deputies of Luxembourg (2009-07-08 to 2013-11-12)
Alex Agius Saliba,Malta,,PL,S&D,Q64223721,2024-07-16,1988-01-31,"Pietà, Malta",University of Malta,politician,,Labour Party,,
Daniel Attard,Malta,,PL,S&D,Q126543809,2024-07-16,1992-04-18,"Pietà, Malta",,politician,,,,
Thomas Bajada,Malta,,PL,S&D,Q126678825,2024-07-16,1994-06-13,Rabat,,politician,,,,
Roberta Metsola,Malta,,PN,EPP,Q7351526,2024-07-16,1979-01-18,St. Julian's,University of Malta || St Aloysius' College,politician || jurist,,Nationalist Party,"Grand Cross of Honor for Services to the Republic of Austria || Grand Cross of the Order of the Lithuanian Grand Duke Gediminas || Order of Merit, 1st class || Order of Princess Olga, 1st class || The Cross of Good Neighbourliness",President of the European Parliament (2024-01-01 to 2027-01-01) || Vice President of the European Parliament (2020-11-12 to 2022-01-11) || President of the European Parliament (2022-01-11 to 2022-01-18) || President of the European Parliament (2022-01-18 to 2024-01-01)
Peter Agius,Malta,,PN,EPP,Q126655707,2024-07-16,1979-04-09,St. Julian's,,lawyer || politician,,,,
David Casa,Malta,,PN,EPP,Q578504,2024-07-16,1968-11-16,Valletta,,politician,,Nationalist Party,,
Bas Eickhout,Netherlands,,GL/PvdA,Greens/EFA,Q809726,2024-07-16,1976-10-08,Groesbeek,Radboud University,politician || chemist,,GroenLinks,,chairperson (from 2024-07-16)
Marit Maij,Netherlands,,GL/PvdA,S&D,Q617451,2025-02-13,1972-01-16,The Hague,University of Amsterdam,politician || diplomat,Ministry of the Interior and Kingdom Relations,Labour Party || GroenLinks,,Representative of the Parliamentary Assembly of the Council of Europe (2016-03-04 to 2017-06-25) || member of the House of Representatives of the Netherlands (2012-09-20 to 2017-03-22) || substitute member of the Parliamentary Assembly of the Council of Europe (2013-09-30 to 2016-03-04)
Kim van Sparrentak,Netherlands,,GL/PvdA,Greens/EFA,Q64223558,2024-07-16,1989-10-16,Vlissingen,University of Amsterdam || Wageningen University & Research,politician,,GroenLinks,,
Mohammed Chahim,Netherlands,,GL/PvdA,S&D,Q28860746,2025-02-13,1985-04-18,Fez,,politician,,Labour Party,,municipal councillor of Helmond
Tineke Strik,Netherlands,,GL/PvdA,Greens/EFA,Q2697618,2024-07-16,1961-09-28,Alphen,Radboud University,politician || social worker,,GroenLinks,Knight of the Order of Orange-Nassau,member of the Senate of the Netherlands (2007-06-12 to 2019-06-11) || municipal executive of Wageningen || substitute member of the Parliamentary Assembly of the Council of Europe (2008-01-21 to 2017-06-25) || Representative of the Parliamentary Assembly of the Council of Europe (2017-06-26 to 2019-06-11)
Lara Wolters,Netherlands,,GL/PvdA,S&D,Q65058344,2024-07-16,1986-04-12,Amsterdam,University College London || College of Europe || Institut d'études politiques de Strasbourg,politician,,Labour Party,,
Catarina Cordeiro Vieira,Netherlands,,GL/PvdA,Greens/EFA,,,,,,,,,,
Thijs Reuten,Netherlands,,GL/PvdA,S&D,Q106518433,2025-02-13,1974-01-01,Bussum,,politician,,,,municipal councillor of Amsterdam
Sebastiaan Stöteler,Netherlands,,PVV,Patriots for Europe,Q106133800,2024-07-16,1983-11-18,Almelo,,politician,,,,member of the House of Representatives of the Netherlands (from 2025-11-12)
Marieke Ehlers,Netherlands,,PVV,Patriots for Europe,Q127599331,2024-07-16,1988-05-06,Pretoria,,politician,,,,
Auke Zijlstra,Netherlands,,PVV,Patriots for Europe,Q771169,2024-07-16,1964-11-01,Joure,University of Groningen,politician,,,,
Sebastian Kruis,Netherlands,,PVV,Patriots for Europe,Q127160696,2024-07-16,1989-08-04,Medellín,,politician,,,,municipal councillor of The Hague (2018-08-01 to 2024-01-01) || member of the States-Provincial of South Holland (2014-09-17 to 2015-03-31) || municipal councillor of The Hague (2018-10-11 to 2024-06-20)
Rachel Blom,Netherlands,,PVV,Patriots for Europe,Q127599328,2024-07-16,1987-10-07,Rotterdam,,politician,,,,
Ton Diepeveen,Netherlands,,PVV,Patriots for Europe,Q127599330,2024-07-16,1957-08-27,Veenendaal,,politician,,,,
Mieke Andriese,Netherlands,,PVV,Patriots for Europe,Q136904540,2025-11-20,,,,politician,,,,
Malik Azmani,Netherlands,,VVD,Renew Europe,Q2798242,2024-07-16,1976-01-20,Heerenveen,University of Groningen,politician,Immigration and Naturalisation Service,People's Party for Freedom and Democracy,,member of the House of Representatives of the Netherlands (2010-06-17 to 2019-06-11) || substitute member of the Parliamentary Assembly of the Council of Europe (2013-03-08 to 2016-04-17)
Bart Groothuis,Netherlands,,VVD,Renew Europe,Q84922653,2024-07-16,1981-01-01,Reutum,Radboud University,politician,,People's Party for Freedom and Democracy,,
Jeannette Baljeu,Netherlands,,VVD,Renew Europe,Q1994987,2024-07-16,1967-08-07,Den Helder,,politician,,People's Party for Freedom and Democracy,Wolfert van Borselenpenning,municipal executive of Rotterdam || member of the States-Provincial of South Holland (2023-03-29 to 2023-07-05)
Anouk van Brug,Netherlands,,VVD,Renew Europe,Q126870308,2024-07-16,1992-09-14,Amsterdam,,politician,,,,
Tom Berendsen,Netherlands,,CDA,EPP,Q64399772,2024-07-16,1983-04-11,Breda,Tilburg University || Katholieke Universiteit Leuven,politician,,Christian Democratic Appeal,,Minister of Foreign Affairs (from 2026-02-23)
Willemien Koning,Netherlands,,CDA,EPP,,,,,,,,,,
Ingeborg ter Laak,Netherlands,,CDA,EPP,Q126759263,2024-07-16,1973-02-18,Gouda,,politician,,Christian Democratic Appeal,,municipal executive of Zoetermeer (2018-05-01 to 2024-07-08) || municipal councillor of Zoetermeer (2014-03-01 to 2018-01-01) || municipal councillor of Zoetermeer (2014-03-01 to 2018-05-01)
Jeroen Lenaers,Netherlands,,CDA,EPP,Q17189402,2024-07-16,1984-04-29,Stramproy,Maastricht University,politician,,Christian Democratic Appeal,,
Gerben-Jan Gerbrandy,Netherlands,,D66,Renew Europe,Q455179,2024-07-16,1967-06-28,The Hague,Leiden University,politician,,Democrats 66,Knight of the Order of Orange-Nassau,
Raquel García Hermida,Netherlands,,D66,Renew Europe,,,,,,,,,,
Brigitte van den Berg,Netherlands,,D66,Renew Europe,Q126918590,2024-07-16,1989-03-22,Heemskerk,,politician,,,,municipal councillor of Beverwijk (2010-01-01 to 2018-01-01) || municipal executive of Beverwijk (from 2018-01-01) || municipal executive of Beverwijk (2018-05-15 to 2024-06-21) || municipal councillor of Beverwijk (2010-01-01 to 2018-05-15)
Sander Smit,Netherlands,,BBB,EPP,Q124024336,2024-07-16,1985-07-29,Goor,,politician,,Christian Democratic Appeal || Farmer–Citizen Movement,,municipal councillor of Hof van Twente (2012-01-01 to 2014-01-01)
Jessika van Leeuwen,Netherlands,,BBB,EPP,Q126869662,2024-07-16,1981-09-10,Harderwijk,,politician,,Farmer–Citizen Movement,,Q106686888 (2023-01-01 to 2024-01-01)
Reinier van Lanschot,Netherlands,,Volt,Greens/EFA,Q63164076,2024-07-16,1989-09-07,Haarlem,,politician,,Volt Europa || Volt Netherlands,,
Anna Strolenberg,Netherlands,,Volt,Greens/EFA,Q126373333,2024-07-16,1995-07-23,Utrecht,Utrecht University || Erasmus University Rotterdam,politician || public administration scholar,VluchtelingenWerk,Volt Netherlands,,
Anja Hazekamp,Netherlands,,PvdD,The Left,Q2187156,2024-07-16,1968-01-21,Vlagtwedde,University of Groningen,politician,Leiden University || Utrecht University,Party for the Animals,,member of the House of Representatives of the Netherlands (2012-01-24 to 2012-05-14)
Dirk Gotink,Netherlands,,NSC,EPP,Q27646852,2024-07-16,1981-08-13,Haarlem,,politician,,Christian Democratic Appeal || New Social Contract,,
Bert-Jan Ruissen,Netherlands,,SGP,ECR,Q64033377,2024-07-16,1972-03-22,Kruiningen,Wageningen University & Research,politician || historian || journalist,,Reformed Political Party,list of members of the Order of Oranje-Nassau,
Magdalena Adamowicz,Poland,Pomeranian,KO,EPP,Q60617266,2024-07-16,1973-04-10,Słupsk,"Faculty of Law and Administration, University of Gdańsk",politician,University of Gdańsk,Civic Platform,,
Janusz Lewandowski,Poland,Pomeranian,KO,EPP,Q519793,2024-07-16,1951-06-13,Lublin,University of Gdańsk,politician || economist || athletics competitor,Harvard University || University of Gdańsk || Polish Ocean Lines || Gdańsk Institute for Market Economics,Civic Platform || Liberal Democratic Congress || Democratic Union || Freedom Union,Kisiel Prize || Commander of the Order of Polonia Restituta,member of the Sejm (1991-01-01 to 1993-01-01) || Representative of the Parliamentary Assembly of the Council of Europe (1992-02-03 to 1994-01-24) || member of the Sejm (1997-01-01 to 2004-01-01) || European Commissioner for Financial Programming and the Budget (2010-02-09 to 2014-07-01) || member of the Sejm (1991-11-25 to 1993-05-31)
Krzysztof Brejza,Poland,Kuyavian–Pomeranian,KO,EPP,Q6440112,2024-01-03,1983-05-16,Bydgoszcz,University of Warsaw || II Liceum Ogólnokształcące im. Marii Konopnickiej w Inowrocławiu,politician || jurist,,Civic Platform,,member of the Sejm (2007-01-01 to 2019-01-01) || substitute member of the Parliamentary Assembly of the Council of Europe (2016-01-25 to 2017-01-22) || member of the Sejm (2023-11-01 to 2024-01-01) || Member of the Senate of the Republic of Poland (2019-01-01 to 2023-11-01)
Jacek Protas,Poland,Podlaskie & Warmian-Masurian,KO,EPP,Q11715524,2024-07-16,1964-01-15,Lidzbark Warmiński,Gdansk University of Physical Education and Sport,teacher || politician,Ministry of Development Funds and Regional Policy,Civic Platform,Medal of Merit for the Border Guard || Gold Medal for Merit in Fire Protection || Odznaka Honorowa za Zasługi dla Samorządu Terytorialnego || Gold Cross of Merit,member of the Sejm
Kamila Gasiuk-Pihowicz,Poland,Warsaw,KO,EPP,Q21231228,2024-07-16,1983-05-08,Warsaw,SGH Warsaw School of Economics || Cardinal Stefan Wyszyński University in Warsaw,politician || jurist || economist,,Civic Platform || Freedom Union || Nowoczesna,,member of parliament || member of the Sejm
Michał Szczerba,Poland,Warsaw,KO,EPP,Q570288,2024-07-16,1977-12-14,Warsaw,"Faculty of Philosophy and Sociology, University of Warsaw || XXX Liceum Ogólnokształcące im. Jana Śniadeckiego w Warszawie",politician,,Civic Platform || Solidarity Electoral Action || Conservative People's Party,Order of Honour,member of the Sejm (2007-01-01 to 2019-01-01)
Hanna Gronkiewicz-Waltz,Poland,Warsaw,KO,EPP,Q271902,2024-10-10,1952-11-04,Warsaw,University of Warsaw || XLIV Liceum Ogólnokształcące im. Stefana Banacha w Warszawie,politician || jurist || economist || banker || university teacher,University of Warsaw || Narodowy Bank Polski || European Bank for Reconstruction and Development || Cardinal Stefan Wyszyński University in Warsaw,Civic Platform,Kisiel Prize || Officer of the Legion of Honour || Commander of the Order of Polonia Restituta || Commander with Star of the Order of Polonia Restituta || Commander of the Order of the Crown || Knight of the Order of the Polar Star || Silver Cross of Merit || honorary citizen of Warsaw || Fellow of the Collegium Invisibile || honorary doctor of the Maria Curie-Skłodowska University,Governor of the National Bank of Poland (1992-03-05 to 2000-12-31) || Mayor of Warsaw (2006-12-02 to 2018-11-22) || member of the Sejm (2005-10-19 to 2006-11-26)
Andrzej Halicki,Poland,Masovian,KO,EPP,Q9152187,2024-07-16,1961-11-26,Warsaw,SGH Warsaw School of Economics,politician,,Civic Platform,Order of Honour,Representative of the Parliamentary Assembly of the Council of Europe (2012-01-23 to 2015-01-25) || member of the Sejm || Representative of the Parliamentary Assembly of the Council of Europe (from 2016-01-25)
